     
     
     
     
     
     
     
     
     
     
     
     
     
     
millis, state, light, lat, lon, ax, ay, az, deg, micf_freq, micf_vol, micr_freq, micr_vol, micl_freq, micl_vol, micb_freq, micb_vol, direct, distance soundvol guidanceTime
     
     
     
     
     
     
     
     
     
     
     
     
     
     
millis, state, light, lat, lon, ax, ay, az, deg, micf_freq, micf_vol, micr_freq, micr_vol, micl_freq, micl_vol, micb_freq, micb_vol, direct, distance soundvol guidanceTime
     
     
     
     
     
     
     
     
     
     
     
     
     
     
millis, state, light, lat, lon, ax, ay, az, deg, micf_freq, micf_vol, micr_freq, micr_vol, micl_freq, micl_vol, micb_freq, micb_vol, direct, distance soundvol guidanceTime
32157, 0, 622, 0.00, 0.00, -0.17, -0.14, 9.63, 81.39, 32, 1, 50, 2, 32, 1, 32, 1, 0,0.00,0,32156
32581, 0, 454, 0.00, 0.00, -0.16, -0.16, 9.55, 73.88, 47, 2, 32, 1, 33, 1, 33, 1, 0,0.00,0,32580
33005, 0, 390, 0.00, 0.00, -0.23, -0.20, 9.55, 89.72, 32, 1, 34, 1, 39, 2, 47, 2, 0,0.00,0,33004
33430, 0, 415, 0.00, 0.00, -0.14, -0.21, 9.59, 82.48, 34, 2, 32, 1, 33, 2, 34, 2, 0,0.00,0,33429
33854, 0, 576, 0.00, 0.00, -0.15, -0.15, 9.62, 89.72, 32, 1, 34, 2, 32, 1, 34, 1, 0,0.00,0,33852
34278, 0, 837, 0.00, 0.00, -0.13, -0.17, 9.60, 73.90, 33, 1, 32, 1, 34, 2, 33, 1, 0,0.00,0,34276
34702, 0, 871, 0.00, 0.00, -0.17, -0.17, 9.60, 102.17, 32, 1, 34, 1, 33, 2, 32, 1, 0,0.00,0,34700
35128, 0, 912, 0.00, 0.00, -0.18, -0.14, 9.63, 99.45, 33, 1, 32, 1, 32, 1, 34, 2, 0,0.00,0,35126
35552, 0, 882, 0.00, 0.00, -0.21, -0.14, 9.59, 77.30, 33, 2, 33, 1, 32, 1, 34, 2, 0,0.00,0,35550
35976, 0, 900, 0.00, 0.00, -0.14, -0.14, 9.58, 96.93, 32, 1, 32, 1, 33, 2, 32, 1, 0,0.00,0,35975
36401, 0, 910, 0.00, 0.00, -0.17, -0.17, 9.61, 82.44, 32, 1, 33, 1, 32, 1, 34, 2, 0,0.00,0,36399
36825, 0, 877, 0.00, 0.00, -0.17, -0.14, 9.55, 96.78, 33, 1, 33, 2, 32, 1, 32, 1, 0,0.00,0,36823
37248, 0, 737, 0.00, 0.00, -0.11, -0.12, 9.66, 83.57, 32, 1, 32, 1, 33, 1, 32, 1, 0,0.00,0,37246
37670, 0, 538, 0.00, 0.00, -0.14, -0.18, 9.55, 73.07, 32, 1, 34, 1, 33, 1, 32, 1, 0,0.00,0,37669
38094, 0, 342, 0.00, 0.00, -0.15, -0.14, 9.62, 66.64, 32, 1, 34, 1, 34, 2, 34, 1, 0,0.00,0,38092
38518, 0, 264, 0.00, 0.00, -0.14, -0.17, 9.57, 82.49, 49, 2, 32, 1, 33, 1, 32, 1, 0,0.00,0,38517
38942, 4, 193, 0.00, 0.00, -0.16, -0.16, 9.61, 89.88, 32, 1, 45, 2, 32, 1, 32, 1, 0,0.00,0,38941
39366, 4, 124, 0.00, 0.00, 1.10, 1.12, 11.10, 60.04, 35, 2, 34, 2, 56, 2, 54, 2, 0,0.00,0,39364
39788, 4, 119, 0.00, 0.00, 1.09, 1.11, 11.14, 81.43, 49, 2, 63, 2, 33, 2, 60, 2, 0,0.00,0,39787
40211, 4, 222, 0.00, 0.00, 1.14, 1.12, 11.15, 87.13, 32, 1, 33, 2, 33, 2, 43, 2, 0,0.00,0,40210
40633, 4, 780, 0.00, 0.00, 1.12, 1.14, 11.14, 77.88, 32, 1, 33, 1, 63, 2, 33, 1, 0,0.00,0,40632
41055, 4, 965, 0.00, 0.00, 1.05, 1.12, 11.21, 84.52, 32, 1, 32, 1, 47, 2, 59, 2, 0,0.00,0,41054
41477, 4, 822, 0.00, 0.00, 1.14, 1.07, 11.16, 99.00, 32, 1, 32, 1, 32, 1, 32, 1, 0,0.00,0,41476
41899, 4, 708, 0.00, 0.00, 1.09, 1.08, 11.09, 91.28, 33, 2, 34, 1, 32, 1, 35, 1, 0,0.00,0,41897
